Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
2,plalag,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,POLYGALA,2,0.001598721,0.139,0,0.7482,1,0.0096,0
2,rapis,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,ROME,148,0.118305356,10.286,0,55.3668,38,0.7104,0
2,save,6,0.004796163,0.417,2,2.2446,2,NA,NA
2,SEDU,3,0.002398082,0.2085,0,1.1223,0,0.0144,0
2,sherardia,2,0.001598721,0.139,0,0.7482,1,0.0096,0
2,sisymbrium,2,0.001598721,0.139,0,0.7482,1,0.0096,0
2,sonchus,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,SPERGULA,3,0.002398082,0.2085,0,1.1223,2,0.0144,0
2,stella,1,0.000799361,0.0695,0,0.3741,1,0.0048,0
2,STIPALAG,242,0.193445244,16.819,25,90.5322,24,1.1616,1
2,taraxa,6,0.004796163,0.417,0,2.2446,2,0.0288,0
2,TEUCAP,3,0.002398082,0.2085,0,1.1223,0,0.0144,0
2,thapsia,2,0.001598721,0.139,0,0.7482,2,0.0096,0
2,THYMUVU,34,0.027178257,2.363,0,12.7194,19,0.1632,0
2,torilis,9,0.007194245,0.6255,0,3.3669,8,0.0432,0
2,trisetum,1,0.000799361,0.0695,0,0.3741,0,0.0048,0
2,vicia,5,0.003996803,0.3475,0,1.8705,3,0.024,0
2,xeran,1,0.000799361,0.0695,0,0.3741,1,0.0048,0
3,aizoon,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,ARTIBA,96,0.0768,NA,NA,38.5536,46,0.768,1
3,asphoce,3,0.0024,0.23058432,0,1.2048,2,0.024,0
3,ASTER,5,0.004,0.3843072,0,2.008,4,0.04,0
3,astrase,2,0.0016,0.15372288,0,0.8032,0,0.016,0
3,atrip,6,0.0048,0.46116864,0,2.4096,5,0.048,0
3,avebro,20,0.016,1.5372288,1,8.032,7,0.16,0
3,avena,5,0.004,0.3843072,0,2.008,3,0.04,0
3,BRADI,14,0.0112,1.07606016,3,5.6224,8,0.112,0
3,BRARE,54,0.0432,4.15051776,1,21.6864,9,0.432,0
3,BRORU,17,0.0136,1.30664448,1,6.8272,10,0.136,0
3,buplefru,5,0.004,0.3843072,0,2.008,1,0.04,0
3,BUPLEU,5,0.004,0.3843072,0,2.008,0,0.04,0
3,centa,1,0.0008,0.07686144,0,0.4016,1,0.008,0
3,cistuclu,2,0.0016,0.15372288,0,0.8032,0,0.016,0
3,DACT,23,0.0184,1.76781312,3,9.2368,12,0.184,0
3,DIPCA,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,efedra,6,0.0048,0.46116864,0,2.4096,0,0.048,0
3,eruca,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,FILAGO,3,0.0024,0.23058432,0,1.2048,0,0.024,0
3,globu,6,0.0048,0.46116864,0,2.4096,3,0.048,0
3,HELIHIRT,3,0.0024,0.23058432,0,1.2048,0,0.024,0
3,HELIPI,18,0.0144,1.38350592,2,7.2288,6,0.144,1
3,HELISA,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,hordeum,11,0.0088,0.84547584,1,4.4176,5,0.088,0
3,HYP,2,0.0016,0.15372288,1,0.8032,0,0.016,0
3,junipho,3,0.0024,0.23058432,0,1.2048,0,0.024,0
3,koelerval,3,0.0024,0.23058432,0,1.2048,0,0.024,0
3,LINU,17,0.0136,1.30664448,0,6.8272,9,0.136,0
3,lygi,502,0.4016,38.58444288,46,NA,NA,4.016,2
3,malcomia,14,0.0112,1.07606016,0,5.6224,1,0.112,0
3,MEDILIT,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,NEATOS,7,0.0056,0.53803008,1,2.8112,1,0.056,0
3,PLAFRA,9,0.0072,0.69175296,0,3.6144,6,0.072,0
3,PLAL,19,0.0152,1.46036736,0,7.6304,12,0.152,0
3,ROME,174,0.1392,13.37389056,1,69.8784,36,1.392,0
3,save,10,0.008,0.7686144,1,4.016,2,NA,NA
3,SEDU,15,0.012,1.1529216,0,6.024,11,0.12,0
3,sherardia,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,sisymbrium,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,sonchus,4,0.0032,0.30744576,0,1.6064,2,0.032,0
3,SPERGULA,3,0.0024,0.23058432,1,1.2048,2,0.024,0
3,STIPALAG,126,0.1008,9.68454144,27,50.6016,22,1.008,0
3,STIPAR,26,0.0208,1.99839744,1,10.4416,6,0.208,0
3,taraxa,2,0.0016,0.15372288,0,0.8032,1,0.016,0
3,TEUCAP,4,0.0032,0.30744576,1,1.6064,4,0.032,0
3,thapsia,19,0.0152,1.46036736,3,7.6304,14,0.152,0
3,THYMELEA,1,0.0008,0.07686144,0,0.4016,0,0.008,0
3,THYMUVU,49,0.0392,3.76621056,1,19.6784,26,0.392,1
4,aegg,2,0.001598721,0.1534,0,0.753,0,,
4,aizoon,1,0.000799361,0.0767,0,0.3765,0,,
4,alyaly,3,0.002398082,0.2301,0,1.1295,2,,
4,ARTIBA,96,0.076738609,NA,NA,36.144,29,,
4,asphoce,8,0.006394884,0.6136,0,3.012,8,,
4,ASTER,6,0.004796163,0.4602,0,2.259,4,,
4,astrag,1,0.000799361,0.0767,0,0.3765,0,,
4,avebro,11,0.008792966,0.8437,0,4.1415,3,,
4,avena,2,0.001598721,0.1534,1,0.753,0,,
4,BRADI,2,0.001598721,0.1534,0,0.753,2,,
